CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,LATITUDE,LONGITUDE,LAT_LON,PATROL_BORO,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,:@COMPUTED_REGION_EFSH_H5XI,:@COMPUTED_REGION_F5DN_YRER,:@COMPUTED_REGION_YEJI_BK3Q,:@COMPUTED_REGION_92FQ_4B7Q,:@COMPUTED_REGION_SBQJ_ENIH,CMPLNT_TO_DT,CMPLNT_TO_TM,PARKS_NM,TRANSIT_DISTRICT,STATION_NAME,Year
635421282,2013-04-01,17:00:00,77,2013-04-02,109,GRAND LARCENY,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,992769,185225,,UNKNOWN,U,40.675080704,-73.969289552,"{'latitude': '40.675080704', 'longitude': '-73.969289552'}",PATROL BORO BKLYN NORTH,,UNKNOWN,D,13829,13,2,27,50,2013-04-02,08:30:00,NA,,,2013.0
246101202,2013-07-20,15:30:00,105,2013-07-20,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,QUEENS,INSIDE,CANDY STORE,N.Y. POLICE DEPT,0,,NA,1059372,196337,,BLACK,M,40.705265812,-73.729055672,"{'latitude': '40.705265812', 'longitude': '-73.729055672'}",PATROL BORO QUEENS SOUTH,25-44,ASIAN / PACIFIC ISLANDER,M,24338,63,3,6,63,2013-07-20,15:40:00,NA,,,2013.0
698665609,2013-07-03,05:00:00,18,2013-07-03,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,ATM,N.Y. POLICE DEPT,0,,NA,988955,217272,,,,40.763044865,-73.983017028,"{'latitude': '40.763044865', 'longitude': '-73.983017028'}",PATROL BORO MAN SOUTH,45-64,BLACK,M,12081,11,4,10,10,2013-07-03,05:30:00,NA,,,2013.0
480932430,2013-07-02,11:00:00,19,2013-07-02,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,DOCTOR/DENTIST OFFICE,N.Y. POLICE DEPT,0,,NA,995286,221973,,,,40.775942253,-73.960155248,"{'latitude': '40.775942253', 'longitude': '-73.960155248'}",PATROL BORO MAN NORTH,25-44,BLACK HISPANIC,F,10092,23,4,51,11,2013-07-02,11:55:00,NA,,,2013.0
760075683,2013-04-20,09:30:00,101,2013-04-20,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,NA,1052791,155798,25-44,BLACK,M,40.594048916,-73.753203455,"{'latitude': '40.594048916', 'longitude': '-73.753203455'}",PATROL BORO QUEENS SOUTH,25-44,BLACK,F,20529,51,3,47,59,2013-04-20,11:00:00,NA,,,2013.0
782743827,2013-04-18,18:49:00,103,2013-04-18,236,DANGEROUS WEAPONS,782,"WEAPONS, POSSESSION, ETC",COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0,,NA,1037071,193415,,,,40.697406849,-73.809512266,"{'latitude': '40.697406849', 'longitude': '-73.809512266'}",PATROL BORO QUEENS SOUTH,,UNKNOWN,E,24670,41,3,6,61,2013-04-18,18:50:00,NA,,,2013.0
729325834,2013-08-07,15:00:00,32,2013-08-08,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,4552,1001752,241629,,UNKNOWN,U,40.829882139,-73.9367581,"{'latitude': '40.829882139', 'longitude': '-73.9367581'}",PATROL BORO MAN NORTH,25-44,BLACK,F,13097,18,4,36,20,2013-08-07,23:00:00,NA,,,2013.0
149122103,2013-06-21,19:26:00,23,2013-06-21,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,OTHER,N.Y. POLICE DEPT,0,,NA,1000908,227849,,,,40.792061502,-73.939842082,"{'latitude': '40.792061502', 'longitude': '-73.939842082'}",PATROL BORO MAN NORTH,18-24,WHITE HISPANIC,F,12426,7,4,35,14,2013-06-21,19:30:00,NA,,,2013.0
294750373,2013-09-05,12:00:00,25,2013-09-06,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,MANHATTAN,,HIGHWAY/PARKWAY,N.Y. POLICE DEPT,0,,NA,1000555,230994,,,,40.800694331,-73.941109286,"{'latitude': '40.800694331', 'longitude': '-73.941109286'}",PATROL BORO MAN NORTH,,UNKNOWN,E,13093,7,4,36,16,2013-09-05,12:00:00,NA,,,2013.0
518030634,2013-04-10,12:30:00,75,2013-04-10,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,,NA,1022721,183822,,,,40.671150297,-73.861317557,"{'latitude': '40.671150297', 'longitude': '-73.861317557'}",PATROL BORO BKLYN NORTH,,UNKNOWN,E,17215,45,2,25,47,2013-04-10,12:35:00,NA,,,2013.0
